file_num,delay_time_max,num_factors_max,cumret_random,rr_random,diff_min_random,cumret_genetic,rr_genetic,diff_min_genetic
1,1,2,0.024497067948053685,0.011054092154170577,0.3791420884882225,0.11036788984509618,0.03978265646109047,0.30144797212328045
2,1,4,-0.08437328725476875,-0.0368544199660831,0.273565217663838,0.025786640662631078,0.009802372293848486,0.3570759877495332
3,1,10,0.11110574295779459,0.055894726585849104,0.3116211435201708,0.060148928460233106,0.016684724586620993,0.38287322429191883
4,1,15,0.00301750240295538,0.0014604857062873562,0.3345431108498599,0.09214585985949339,0.02899338756224245,0.3881764651297015
5,2,2,0.022821463655466546,0.009677839818453344,0.3014569004934717,0.0041619920901232125,0.0020326652074297135,0.24668326102493088
6,2,4,0.028275411177019337,0.012873516584370063,0.2980188239074794,0.14540748104808304,0.055096170477470056,0.3415178841526574
7,2,10,-0.11766407722897723,-0.056390050374674615,0.2485627404775168,0.0589700765158479,0.017973386092228347,0.3190616776362059
8,2,15,-0.007485669793584148,-0.0036421058457933937,0.2687645210688587,-0.2850227320948357,-0.10239000022080953,0.2280005881410519
9,7,2,-0.15815563234503116,-0.07606323550524607,0.17091860683034862,0.16450551753218817,0.08006844041009706,0.4028785271165063
10,7,4,0.01680078902233418,0.007931993559901275,0.3767601910230389,0.07397374200121605,0.03246089703642107,0.3532067017440265
11,7,10,0.026307832780650624,0.0117328768257903,0.2924009762359945,-0.07588710237820148,-0.0270171950735023,0.3799987637545136
12,7,15,0.24584113798405696,0.11127740441968004,0.31914572560009824,-0.055895007200869026,-0.020120714790847552,0.34860688798386874
13,30,2,-0.17294181370299855,-0.08501861958059144,0.24918379592652645,-0.029342810162133907,-0.013534003355297617,0.29901943543147824
14,30,4,-0.015451976046316356,-0.008075464997455017,0.28204791694875714,0.06712421342745507,0.025312056697132237,0.41252569100539505
15,30,10,-0.08314605078607601,-0.04096686689147868,0.15221602089306038,-0.12287085106454114,-0.05063264370580875,0.251771976168165
16,30,15,0.0015669887653620123,0.000698323622667476,0.31370348002011855,-0.12342358084182106,-0.04837974329890006,0.3053989664812712
