Method,CUMRET (Mean),R/R (Mean)
Market,0.03793706685081712,0.005463632172162911
TC_random_tuning (Avg),-0.009936535654003695,-0.005275593992759557
TC_genetic_algorithm_tuning (Avg),0.006884391106247785,0.0028832785237134185
